=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.20 00:11:05 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 936697
cycles to read 40000 DDR bytes: 1050599
cycles to write 40000 OCM bytes: 947731
cycles to read 40000 OCM bytes: 976392
cycles to write 40000 CACHE bytes: 24361
cycles to read 40000 CACHE bytes: 21063
cycles to write 40000 OCM bytes: 24358
cycles to read 40000 OCM bytes: 125377
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,157255296,1206411,19702611,1206407
HPC0,CACHE,159893043,1226788,20034269,1226784
HPC0,CACHE,162530618,1247152,20365919,1247146
HPC0,CACHE,165168069,1267532,20697607,1267528
HPC0,CACHE,167805793,1287925,21029226,1287921
HPC0,CACHE,170443536,1308296,21360917,1308293
HPC0,CACHE,173081065,1328633,21692691,1328629
HPC0,CACHE,175718861,1349044,22024260,1349039
HPC0,CACHE,178356576,1369440,22355878,1369436
HPC0,CACHE,180994279,1389837,22687471,1389833
HPC0,CACHE,183631542,1410209,23019127,1410205
HPC0,CACHE,186268998,1430601,23350731,1430597
HPC0,CACHE,188906337,1450992,23682347,1450987
HPC0,CACHE,191539546,1471416,24014449,1471412
HPC0,CACHE,194172735,1491837,24346531,1491833
HPC0,CACHE,196805732,1512243,24678687,1512239
HPC0,CACHE,199439531,1532652,25010814,1532649
HPC0,CACHE,202072677,1553060,25342963,1553055
HPC0,CACHE,204705656,1573484,25675023,1573480
HPC0,CACHE,207339108,1593901,26007129,1593898
HPC0,CACHE,209972157,1614319,26339216,1614315
HPC0,CACHE,212605450,1634736,26671333,1634731
HPC0,CACHE,215238801,1655148,27003427,1655142
HPC0,CACHE,217871707,1675565,27335533,1675562
HPC0,CACHE,220505276,1695981,27667660,1695977
HPC0,CACHE,223138259,1716400,27999774,1716395
HPC0,CACHE,225771827,1736816,28331886,1736812
HPC0,CACHE,228404984,1757239,28663941,1757233
HPC0,CACHE,231038316,1777645,28996095,1777642
HPC0,CACHE,233671310,1798058,29328212,1798054
HPC0,CACHE,236304216,1818473,29660296,1818469
HPC0,CACHE,238937594,1838876,29992455,1838872
HPC0,CACHE,241570699,1859308,30324502,1859302
HPC0,CACHE,244203733,1879726,30656609,1879722
HPC0,CACHE,246837099,1900149,30988684,1900145
HPC0,CACHE,249470091,1920570,31320767,1920566
HPC0,CACHE,251973796,1939991,31636539,1939987
CACHE test run cycles 39374669
cycles to write 40000 DDR bytes: 937165
cycles to read 40000 DDR bytes: 1050405
cycles to write 40000 OCM bytes: 949070
cycles to read 40000 OCM bytes: 975152
cycles to write 40000 CACHE bytes: 24361
cycles to read 40000 CACHE bytes: 21079
cycles to write 40000 OCM bytes: 24358
cycles to read 40000 OCM bytes: 127582
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HP0,OCM,84167,2484,10460,2481
HP0,OCM,1136603,33437,140468,33434
HP0,OCM,2432105,71540,300503,71537
HP0,OCM,3727777,109648,460553,109646
HP0,OCM,5095427,149874,629501,149871
HP0,OCM,6463077,190099,798446,190096
HP0,OCM,7830625,230320,967379,230318
HP0,OCM,9198275,270545,1136324,270542
HP0,OCM,10601863,311828,1309710,311825
HP0,OCM,12041491,354170,1487549,354167
HP0,OCM,13481153,396513,1665387,396510
HP0,OCM,14920781,438854,1843219,438851
HP0,OCM,16360307,481194,2021047,481191
HP0,OCM,17799969,523536,2198886,523533
HP0,OCM,19239597,565879,2376724,565876
HP0,OCM,20679157,608218,2554549,608215
HP0,OCM,22118785,650560,2732387,650557
HP0,OCM,23558413,692902,2910222,692900
HP0,OCM,24997973,735242,3088050,735239
HP0,OCM,26437601,777584,3265885,777581
HP0,OCM,27877229,819927,3443724,819924
HP0,OCM,29316789,862266,3621552,862263
HP0,OCM,30756417,904609,3799390,904606
HP0,OCM,32196079,946951,3977229,946948
HP0,OCM,33635707,989293,4155064,989290
HP0,OCM,35075267,1031633,4332892,1031630
HP0,OCM,36586873,1076092,4519620,1076089
HP0,OCM,38098479,1120552,4706352,1120549
HP0,OCM,39610017,1165008,4893067,1165005
HP0,OCM,41121657,1209468,5079799,1209465
HP0,OCM,42633263,1253927,5266527,1253924
HP0,OCM,44144767,1298384,5453245,1298381
HP0,OCM,45656407,1342843,5639974,1342841
HP0,OCM,47168047,1387303,5826706,1387300
HP0,OCM,48679619,1431762,6013434,1431759
HP0,OCM,50191157,1476218,6200149,1476215
HP0,OCM,51702763,1520677,6386877,1520675
HP0,OCM,53214369,1565137,6573610,1565134
HP0,OCM,54725975,1609596,6760339,1609593
HP0,OCM,56237479,1654052,6947054,1654049
HP0,OCM,57749085,1698510,7133780,1698508
HP0,OCM,59260691,1742970,7320503,1742967
HP0,OCM,60772331,1787429,7507235,1787426
HP0,OCM,62283835,1831886,7693958,1831883
HP0,OCM,63795475,1876345,7880687,1876342
HP0,OCM,65307047,1920804,8067410,1920801
HP0,OCM,66818687,1965263,8254139,1965260
HP0,OCM,68330293,2009722,8440868,2009719
HP0,OCM,69841899,2054181,8627597,2054178
HP0,OCM,71353403,2098638,8814311,2098635
HP0,OCM,72865009,2143097,9001043,2143094
HP0,OCM,74376615,2187555,9187769,2187553
HP0,OCM,75888221,2232015,9374492,2232012
HP0,OCM,77399759,2276471,9561215,2276468
HP0,OCM,78911365,2320930,9747944,2320927
HP0,OCM,80422937,2365389,9934667,2365386
HP0,OCM,81934577,2409848,10121396,2409845
HP0,OCM,83482087,2455364,10312562,2455361
HP0,OCM,85029767,2500884,10503743,2500881
HP0,OCM,86577311,2546399,10694909,2546396
HP0,OCM,88124889,2591916,10886084,2591914
HP0,OCM,89672433,2637433,11077254,2637430
HP0,OCM,91220011,2682949,11268420,2682946
HP0,OCM,92767589,2728466,11459595,2728463
HP0,OCM,94315235,2773985,11650775,2773983
HP0,OCM,95862813,2819503,11841948,2819500
HP0,OCM,97410391,2865019,12033114,2865016
HP0,OCM,98957935,2910535,12224285,2910532
HP0,OCM,100505479,2956051,12415452,2956049
HP0,OCM,102089097,3002628,12611073,3002626
HP0,OCM,103672681,3049204,12806691,3049201
HP0,OCM,105256265,3095780,13002314,3095777
HP0,OCM,106839781,3142354,13197921,3142351
HP0,OCM,108423365,3188930,13393544,3188927
HP0,OCM,110006949,3235507,13589163,3235504
HP0,OCM,111590533,3282083,13784784,3282080
HP0,OCM,113174117,3328659,13980402,3328656
HP0,OCM,114757633,3375232,14176012,3375229
HP0,OCM,116341217,3421808,14371630,3421805
HP0,OCM,117924767,3468384,14567248,3468381
HP0,OCM,119508385,3514960,14762872,3514957
HP0,OCM,121091969,3561536,14958490,3561533
HP0,OCM,122675451,3608110,15154093,3608107
HP0,OCM,124259069,3654687,15349723,3654684
HP0,OCM,125842687,3701263,15545341,3701260
HP0,OCM,127426237,3747839,15740959,3747836
HP0,OCM,129009821,3794415,15936583,3794412
HP0,OCM,130593337,3840989,16132186,3840986
HP0,OCM,132176921,3887565,16327813,3887562
HP0,OCM,133760539,3934141,16523431,3934138
HP0,OCM,135344021,3980714,16719034,3980711
HP0,OCM,136927639,4027291,16914661,4027288
HP0,OCM,138511223,4073868,17110279,4073865
HP0,OCM,140094807,4120444,17305900,4120441
HP0,OCM,141678391,4167019,17501515,4167016
HP0,OCM,143261907,4213593,17697128,4213590
HP0,OCM,144845457,4260169,17892746,4260166
HP0,OCM,146429075,4306745,18088369,4306742
HP0,OCM,148012659,4353322,18283991,4353319
HP0,OCM,149596175,4399895,18479599,4399892
HP0,OCM,151096697,4444028,18664955,4444025
OCM test run cycles 36822793
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,130800,1005,16384,1001
HPC0,CACHE,1999160,15287,250096,15281
HPC0,CACHE,4190635,32061,524232,32057
HPC0,CACHE,6382261,48841,798352,48835
HPC0,CACHE,8574151,65593,1072564,65589
HPC0,CACHE,10822216,82787,1353765,82783
HPC0,CACHE,13126531,100403,1641959,100399
HPC0,CACHE,15542994,118881,1944234,118878
HPC0,CACHE,17959467,137366,2246516,137362
HPC0,CACHE,20376215,155852,2548836,155848
HPC0,CACHE,22792735,174342,2851162,174338
HPC0,CACHE,25209270,192832,3153453,192829
HPC0,CACHE,27625483,211332,3455792,211328
HPC0,CACHE,30039673,229876,3757951,229872
HPC0,CACHE,32453963,248414,4060085,248411
HPC0,CACHE,34868254,266942,4362327,266938
HPC0,CACHE,37282204,285509,4664329,285505
HPC0,CACHE,39696366,304050,4966503,304046
HPC0,CACHE,42110283,322617,5268526,322613
HPC0,CACHE,44524643,341160,5570629,341156
HPC0,CACHE,46938889,359706,5872723,359702
HPC0,CACHE,49353340,378240,6174952,378236
HPC0,CACHE,51767928,396771,6477173,396767
HPC0,CACHE,54182419,415315,6779368,415312
HPC0,CACHE,56596483,433862,7081474,433858
HPC0,CACHE,59011162,452376,7383790,452371
HPC0,CACHE,61425229,470930,7685874,470924
HPC0,CACHE,63839416,489478,7988024,489473
HPC0,CACHE,66254012,508006,8290268,508001
HPC0,CACHE,68668699,526513,8593029,526508
HPC0,CACHE,71083428,545024,8895846,545019
HPC0,CACHE,73498075,563530,9198601,563525
HPC0,CACHE,75913051,582042,9501426,582036
HPC0,CACHE,78328171,600549,9804268,600543
HPC0,CACHE,80743214,619057,10107099,619052
HPC0,CACHE,83214574,637990,10416996,637986
HPC0,CACHE,85686328,656923,10726959,656918
HPC0,CACHE,88157611,675859,11036869,675855
HPC0,CACHE,90629274,694794,11346859,694790
HPC0,CACHE,93100536,713736,11656726,713731
HPC0,CACHE,95571349,732679,11966526,732674
HPC0,CACHE,98042687,751621,12276373,751616
HPC0,CACHE,100514165,770558,12586323,770554
HPC0,CACHE,103041946,789931,12903310,789928
HPC0,CACHE,105569950,809300,13220378,809295
HPC0,CACHE,108095649,828778,13537468,828773
HPC0,CACHE,110621403,848240,13854614,848236
HPC0,CACHE,113147202,867717,14171714,867713
HPC0,CACHE,115672538,887211,14488712,887207
HPC0,CACHE,118198210,906681,14805814,906677
HPC0,CACHE,120723739,926160,15122868,926155
HPC0,CACHE,123248534,945666,15439815,945662
HPC0,CACHE,125774219,965153,15756848,965149
