=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.15 19:41:15 =~=~=~=~=~=~=~=~=~=~=~=
cycles to write 40000 DDR bytes: 3570212
cycles to read 40000 DDR bytes: 3427051
cycles to write 40000 CACHE bytes: 80296
cycles to read 40000 CACHE bytes: 79438
cycles to write 40000 OCM bytes: 80282
cycles to read 40000 OCM bytes: 185290
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,DDR,17847328,309880,6390306,309885
HPC0,DDR,18133563,314852,6492745,314857
HPC0,DDR,18419312,319862,6593195,319868
HPC0,DDR,18705866,324813,6696720,324818
HPC0,DDR,18992201,329782,6799344,329788
HPC0,DDR,19278622,334744,6902264,334750
HPC0,DDR,19564674,339729,7004043,339734
HPC0,DDR,19850987,344700,7106563,344705
HPC0,DDR,20137718,349637,7210751,349643
HPC0,DDR,20424200,354599,7313726,354604
HPC0,DDR,20710081,359596,7414898,359602
HPC0,DDR,20996443,364564,7517568,364569
HPC0,DDR,21282292,369564,7618587,369569
HPC0,DDR,21568235,374560,7719736,374566
HPC0,DDR,21854290,379549,7821325,379554
HPC0,DDR,22140323,384531,7923192,384536
HPC0,DDR,22426417,389519,8024860,389524
HPC0,DDR,22713243,394457,8129092,394462
HPC0,DDR,22999110,399454,8230182,399459
HPC0,DDR,23285289,404430,8332446,404435
HPC0,DDR,23571857,409383,8435855,409388
HPC0,DDR,23858012,414365,8537764,414370
HPC0,DDR,24144027,419353,8639381,419359
HPC0,DDR,24430209,424332,8741477,424338
HPC0,DDR,24716108,429333,8842443,429338
HPC0,DDR,25002984,434259,8947162,434264
HPC0,DDR,25289594,439208,9050797,439213
HPC0,DDR,25575989,444173,9153600,444178
HPC0,DDR,25861999,449161,9255181,449167
HPC0,DDR,26147997,454151,9356722,454156
HPC0,DDR,26434232,459131,9458793,459136
HPC0,DDR,26720458,464108,9560985,464113
HPC0,DDR,27006360,469103,9662180,469108
DDR test run cycles 33908776
Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,CACHE,16033,318,4222,319
HPC0,CACHE,34023,669,9215,670
HPC0,CACHE,135718,2676,36512,2677
HPC0,CACHE,373676,7376,100289,7376
HPC0,CACHE,618475,12213,165755,12213
HPC0,CACHE,876880,17316,234986,17317
HPC0,CACHE,1135276,22418,304260,22419
HPC0,CACHE,1400481,27654,375409,27654
HPC0,CACHE,1665722,32888,446629,32888
HPC0,CACHE,1930860,38128,517527,38128
HPC0,CACHE,2196144,43361,588789,43362
HPC0,CACHE,2461353,48598,659904,48599
HPC0,CACHE,2726341,53847,730262,53848
HPC0,CACHE,2988508,59304,789177,59304
HPC0,CACHE,3250552,64765,847788,64765
HPC0,CACHE,3512645,70228,906375,70228
HPC0,CACHE,3774717,75684,965207,75684
HPC0,CACHE,4036744,81148,1023679,81148
HPC0,CACHE,4305605,86746,1083964,86747
HPC0,CACHE,4574395,92346,1144147,92347
HPC0,CACHE,4843157,97947,1204301,97947
HPC0,CACHE,5112037,103545,1264620,103546
HPC0,CACHE,5394281,109424,1327904,109424
HPC0,CACHE,5676574,115301,1391280,115301
HPC0,CACHE,5958798,121180,1454508,121180
HPC0,CACHE,6241036,127062,1517585,127063
HPC0,CACHE,6523237,132943,1580747,132943
HPC0,CACHE,6805539,138820,1644151,138820
HPC0,CACHE,7087676,144708,1706893,144708
HPC0,CACHE,7366377,150839,1757074,150838
HPC0,CACHE,7645218,156962,1807526,156963
HPC0,CACHE,7924097,163084,1858152,163085
HPC0,CACHE,8202881,169210,1908546,169210
HPC0,CACHE,8481624,175339,1958842,175338
HPC0,CACHE,8760460,181462,2009294,181463
HPC0,CACHE,9039306,187585,2059888,187585
HPC0,CACHE,9318140,193709,2110352,193709
